id,brand,model,year,price,distance,location,was_in_accident,img_url
31117548,Kia,Sportage,2012,14199,141,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/kia_sportage__416026258bx.jpg
31158961,Opel,Zafira,2010,8450,208,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/opel_zafira__417011912bx.jpg
31155775,Mazda,CX-7,2010,11500,180,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/mazda_cx-7__416921833bx.jpg
31151389,Peugeot,5008,2010,9999,171,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/peugeot_5008__416791298bx.jpg
31098949,Volkswagen,Passat B8,2017,16500,190,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/volkswagen_passat-b8__415617899bx.jpg
31161380,BMW,X6,2015,49700,136,Чернівці,true,https://cdn0.riastatic.com/photosnew/auto/photo/bmw_x6__417060910bx.jpg
31140788,Skoda,Octavia A5,2009,7999,157,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/skoda_octavia-a5__416557738bx.jpg
31136099,Land Rover,Range Rover Sport,2012,28500,185,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/land-rover_range-rover-sport__416450853bx.jpg
31136074,BMW,328,2014,14888,136,Чернівці,true,https://cdn2.riastatic.com/photosnew/auto/photo/bmw_328__416451847bx.jpg
31037376,Toyota,Land Cruiser Prado 150,2019,43000,27,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/toyota_land-cruiser-prado-150__414265260bx.jpg
31146978,BMW,X3,2017,28750,51,Чернівці,true,https://cdn4.riastatic.com/photosnew/auto/photo/bmw_x3__416689794bx.jpg
31027467,Skoda,Octavia A7,2017,13900,199,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/skoda_octavia-a7__414046452bx.jpg
31149328,Hyundai,i30,2016,11900,212,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/hyundai_i30__416744011bx.jpg
31148635,BMW,330,2018,24900,38,Чернівці,true,https://cdn1.riastatic.com/photosnew/auto/photo/bmw_330__416721951bx.jpg
31135797,BMW,X5,2013,25000,221,Чернівці,true,https://cdn3.riastatic.com/photosnew/auto/photo/bmw_x5__416446193bx.jpg
31129743,Volkswagen,Passat B8,2015,17999,217,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/volkswagen_passat-b8__416306838bx.jpg
